id,name,yamakei,yamap,wikipedia,yamakei_id,yamap_id,wikipedia_title
118,岩小屋沢岳,O,O,O,474,19570,爺ヶ岳
119,笊ヶ岳,O,O,O,639,15947,笊ヶ岳
120,烏帽子岳,O,O,O,483,55,烏帽子岳 (飛騨山脈)
121,南沢岳,X,O,O,,16371,烏帽子岳 (飛騨山脈)
122,国見岳,O,O,X,503,19559,
123,鷲岳,O,O,O,506,19560,鳶山
124,大滝山,X,X,O,,,大滝山 (飛騨山脈)
125,鳶山,O,O,O,507,1675,鳶山
126,越百山,O,O,O,569,476,越百山
127,奥大日岳,O,O,O,499,14112,奥大日岳
128,雪倉岳,O,O,O,460,500,雪倉岳
129,茶臼岳,O,O,O,625,8748,茶臼岳 (赤石山脈)
130,清水岳,O,O,O,467,9352,清水岳 (飛騨山脈)
131,不動岳,O,O,X,481,16373,
132,北奥千丈岳,O,O,O,354,2100,北奥千丈岳
133,徳右衛門岳,O,O,O,606,16983,蝙蝠岳
134,金峰山,O,O,O,351,176,金峰山 (山梨県・長野県)
135,光岳,O,O,O,627,186,光岳
136,国師ヶ岳,O,O,O,353,2101,国師岳
137,弓折岳,X,O,O,,16346,弓折岳
138,越中沢岳,O,O,O,508,3392,越中沢岳
139,辻山,O,O,X,587,16057,
140,布引山,O,O,X,640,15916,
141,権現岳,O,X,O,454,,権現岳 (八ヶ岳)
142,朝日岳,O,O,X,352,2131,
143,白根山,O,O,O,274,252,日光連山
144,大日影山,O,O,O,612,15978,小河内岳
145,峰の松目,O,X,O,447,,峰の松目
146,浅間山,O,O,O,335,172,浅間山
147,鉢ヶ岳,O,O,O,461,16829,鉢ヶ岳
148,大唐松山,O,O,X,596,14402,
149,池平山,X,O,O,,7105,池平山
150,七倉山,O,O,O,682,19444,七倉山
151,硫黄岳,O,O,O,519,16349,焼岳
152,北葛岳,O,O,O,480,19579,蓮華岳
153,黒檜山,X,O,X,,16016,
154,蓼科山,O,O,O,443,149,蓼科山
155,十石山,O,O,O,544,16285,乗鞍岳
156,仁田岳,O,O,O,626,8749,茶臼岳 (赤石山脈)
157,編笠山,O,O,O,455,1838,編笠山
158,伊那荒倉岳,O,O,O,590,3170,伊那荒倉岳
159,小日影山,O,O,X,611,15979,
160,大日岳,O,O,X,500,14426,
161,男体山,O,O,O,273,20,男体山
162,三宝山,O,O,O,347,16129,三宝山
163,女峰山,O,O,O,269,16990,女峰山
164,横岳,O,O,X,444,257,
165,甲武信ヶ岳,O,O,O,348,26,甲武信ヶ岳
166,奥茶臼山,O,O,O,618,13951,奥茶臼山
167,乗鞍岳,O,O,X,463,5117,
168,火打山,O,O,O,431,167,火打山
169,焼岳,O,O,O,542,145,焼岳
170,妙高山,O,O,O,432,166,妙高山
171,鉢盛山,O,O,O,548,16307,鉢盛山
172,朝日岳,O,O,X,459,501,
173,毛勝山,O,O,O,493,3394,毛勝三山
174,青薙山,O,O,X,641,15925,
175,縞枯山,O,O,O,445,16412,縞枯山
176,焼山,O,O,X,429,19845,
177,別山,O,O,X,685,60,
178,権現岳,O,O,X,453,2320,
179,池口岳,O,O,O,628,776,池口岳
180,猫又山,O,O,O,494,14224,毛勝三山
181,女峰山,O,O,O,270,17015,女峰山
182,大棚入山,O,O,O,555,15901,大棚入山
183,太郎山,O,O,O,272,3261,太郎山
184,安平路山,O,O,O,570,15880,安平路山
185,燧ヶ岳,O,O,O,294,163,燧ヶ岳
186,四阿山,O,O,O,331,51,四阿山
187,高妻山,O,O,O,434,168,高妻山
188,岩菅山,X,O,O,,16863,岩菅山
189,大無間山,O,O,O,631,1018,大無間山
190,女峰山,O,O,O,271,16993,女峰山
191,横手山,O,O,O,328,16630,横手山
192,経ヶ岳,O,O,X,554,2989,
193,岩菅山,O,O,O,325,9836,岩菅山
194,大雪山,O,O,O,35,105,旭岳
195,有明山,O,O,O,523,16362,有明山 (安曇野市・松川村)
196,大雪山,O,O,O,37,7814,旭岳
197,鳥海山,O,O,O,185,154,鳥海山
198,大雪山,O,O,O,39,4130,旭岳
199,瑞牆山,O,O,O,350,177,瑞牆山
200,篭ノ登山,O,O,O,334,14171,篭ノ登山
201,至仏山,O,O,O,295,103,至仏山
202,四阿山,O,O,O,332,7871,四阿山
203,佐武流山,O,O,O,320,15544,佐武流山
204,恵那山,O,O,O,574,181,恵那山
205,不動岳,O,O,O,632,3057,黒法師岳
206,本白根山,O,O,O,330,171,本白根山
207,摺古木山,X,O,O,,15879,摺古木山
208,錫杖岳,O,O,O,518,16326,錫杖岳
209,黒岩山,X,O,O,,1627,帝釈山脈
210,白根山,O,O,O,329,14409,草津白根山
211,武尊山,O,O,O,296,170,武尊山
212,苗場山,O,O,O,319,152,苗場山
213,皇海山,O,O,O,275,169,皇海山
214,トムラウシ山,O,O,O,41,84,トムラウシ山
215,平ヶ岳,O,O,O,292,161,平ヶ岳 (群馬県・新潟県)
216,鬼怒沼山,O,O,O,288,17013,尾瀬
217,白砂山,O,O,O,321,16853,白砂山
218,駒ヶ岳,O,O,O,291,159,会津駒ヶ岳
